venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,wikipedia_link,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_pct_rank,city_pop_z,city_pop_year_used,city_pop_year_gap,venue_age,years_since_event,years_since_construction,coords,venue_lon,venue_lat,city_lon,city_lat,distance_mi
S-023,S-023,Estádio do Pacaembu,São Paulo,Brazil,WC-1950,1950,1946,1940,60000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Pacaembu_Stadium,BRA,NA,NA,10536.121,0.9989410518884576,14.012525012071473,1975,29,10,76,86,Point(-46.665111 -23.548639),-46.665111,-23.548639,-46.5998582137567,-23.5767447751221,4.571267957203491
S-024,S-024,Commonwealth Stadium,Edmonton,Canada,WC-2015,2015,2011,1978,56000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Commonwealth_Stadium_(Edmonton),CAN,52224.1237767406,NA,681.347,0.9317375886524822,0.3242530353276333,2011,0,37,11,48,Point(-113.476111111 53.559722222),-113.476111111,53.559722222,-113.526776631936,53.5580409008345,2.08495354103813
S-025,S-025,Moncton Stadium,Moncton,Canada,WC-2015,2015,2011,2010,13000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Moncton_Stadium,CAN,52224.1237767406,NA,NA,NA,NA,NA,NA,5,11,16,Point(-64.7833 46.1083),-64.7833,46.1083,NA,NA,NA
S-026,S-026,Olympic Stadium,Montreal,Canada,WC-2015,2015,2011,1976,56000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Olympic_Stadium_(Montreal),CAN,52224.1237767406,NA,2429.778,0.9815799842395588,1.841113863722651,2011,0,39,11,50,Point(-73.55164 45.55781),-73.55164,45.55781,-73.6660077343496,45.5363747662468,5.735168304665074
S-027,S-027,TD Place Stadium,Ottawa,Canada,WC-2015,2015,2011,1908,24000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/TD_Place_Stadium,CAN,52224.1237767406,NA,525.176,0.9086879432624112,0.1887660344501161,2011,0,107,11,118,Point(-75.68365 45.398177777),-75.68365,45.398177777,-75.7077321725072,45.3955477032064,1.1837641867607283
S-028,S-028,BC Place,Vancouver,Canada,WC-2015,2015,2011,1983,54000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/BC_Place,CAN,52224.1237767406,NA,1447.119,0.9692671394799054,0.9886027009888516,2011,0,32,11,43,Point(-123.111944444 49.276666666),-123.111944444,49.276666666,-123.041037806083,49.2459167118132,3.84311440950632
S-029,S-029,Investors Group Field,Winnipeg,Canada,WC-2015,2015,2011,2013,33000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Investors_Group_Field,CAN,52224.1237767406,NA,558.191,0.9144011032308904,0.21740837735610524,2011,0,2,11,13,Point(-97.143056 49.807778),-97.143056,49.807778,-97.1474722573086,49.891838473895,5.817873587407796
S-030,S-030,Estadio Carlos Dittborn,Arica,Chile,WC-1962,1962,1956,1962,18000,Multi-purpose,New,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Carlos_Dittborn,CHL,NA,NA,76.752,0.3743381574302859,-0.21295752422946412,1975,19,0,64,64,Point(-70.299166666 -18.4875),-70.299166666,-18.4875,-70.2966028045551,-18.4729862846676,1.0179193907855382
S-031,S-031,Estadio El Teniente,Rancagua,Chile,WC-1962,1962,1956,1947,18000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_El_Teniente,CHL,NA,NA,88.323,0.468937522061419,-0.19722014481130443,1975,19,15,64,79,Point(-70.7375 -34.177777777),-70.7375,-34.177777777,-70.7343493500825,-34.1681513995251,0.6898454357895143
S-032,S-032,Estadio Nacional,Santiago,Chile,WC-1962,1962,1956,1938,67000,Single-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Nacional_Julio_Mart%C3%ADnez_Prádanos,CHL,NA,NA,2834.965,0.9917049064595836,3.5384074828659173,1975,19,24,64,88,Point(-70.610555555 -33.464444444),-70.610555555,-33.464444444,-70.6533926759612,-33.491535748246,3.1016005127333433
S-033,S-033,Estadio Sausalito,Viña del Mar,Chile,WC-1962,1962,1956,1929,18000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Estadio_Sausalito,CHL,NA,NA,556.334,0.935051182492058,0.4393079581074029,1975,19,33,64,97,Point(-71.535 -33.014444444),-71.535,-33.014444444,-71.5182763880219,-33.0396588716129,1.9956303369502284
S-034,S-034,Chengdu Sports Center,Chengdu,China,WC-2007,2007,2003,1991,40000,Multi-purpose,Existing,in use,NA,NA,https://en.wikipedia.org/wiki/Chengdu_Sports_Centre,CHN,1306.97245408557,NA,6004.029,0.995240253853128,5.332482025106226,2003,0,16,19,35,Point(104.06472222 30.66555556),104.06472222,30.66555556,104.046029731707,30.6722990667209,1.2059870198584892
