venue_id,stadium_id,stadium_name,city_name,country_name,tournament_id,tournament_year,award_year,opened_year,stadium_capacity,design_purpose,newly_built,current_status,status_detail,not_in_use_reason,notes,wikipedia_link
S-096,S-096,Olympiastadion,Munich,Germany,WC-1974,1974,1966,1972,78000,Multi-purpose,New,in use,,,"built for the 1972 Munich Olympics; did not exist at the 1966 award, so New by the award date test (same call as Kazan and Fisht)",https://en.wikipedia.org/wiki/Olympiastadion_(Munich)
S-097,S-097,Frankenstadion,Nuremberg,Germany,WC-2006,2006,2000,1928,41000,Multi-purpose,Existing,in use,,,"opened 1928, renovated 2005",https://en.wikipedia.org/wiki/Nuremberg
S-098,S-098,Rhein-Neckar-Arena,Sinsheim,Germany,WC-2011,2011,2007,2009,30000,Multi-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Rhein-Neckar-Arena
S-099,S-099,Neckarstadion,Stuttgart,Germany,WC-1974,1974,1966,1929,72000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Mercedes-Benz_Arena_(Stuttgart)
S-099,S-099,Neckarstadion,Stuttgart,Germany,WC-2006,2006,2000,1929,72000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Mercedes-Benz_Arena_(Stuttgart)
S-100,S-100,Volkswagen Arena,Wolfsburg,Germany,WC-2011,2011,2007,2002,26000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Volkswagen_Arena
S-101,S-101,Stadio San Nicola,Bari,Italy,WC-1990,1990,1984,1990,51000,Multi-purpose,New,in use,,,,https://en.wikipedia.org/wiki/Stadio_San_Nicola
S-102,S-102,Stadio Renato Dall'Ara,Bologna,Italy,WC-1934,1934,1932,1927,50000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stadio_Renato_Dall%27Ara
S-102,S-102,Stadio Renato Dall'Ara,Bologna,Italy,WC-1990,1990,1984,1927,50000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stadio_Renato_Dall%27Ara
S-103,S-103,Stadio Sant'Elia,Cagliari,Italy,WC-1990,1990,1984,1970,35000,Single-purpose,Existing,not in use,demolished 2017,replaced by successor stadium,,https://en.wikipedia.org/wiki/Stadio_Sant%27Elia
S-104,S-104,Stadio Comunale,Florence,Italy,WC-1990,1990,1984,1931,39000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi
S-105,S-105,Stadio Giovanni Berta,Florence,Italy,WC-1934,1934,1932,1931,47000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stadio_Artemio_Franchi_(Florence)
S-106,S-106,Stadio Luigi Ferraris,Genoa,Italy,WC-1934,1934,1932,1911,37000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stadio_Luigi_Ferraris
S-106,S-106,Stadio Luigi Ferraris,Genoa,Italy,WC-1990,1990,1984,1911,37000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stadio_Luigi_Ferraris
S-107,S-107,San Siro,Milan,Italy,WC-1934,1934,1932,1926,75000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/San_Siro
S-107,S-107,San Siro,Milan,Italy,WC-1990,1990,1984,1926,75000,Single-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/San_Siro
S-108,S-108,Stadio Giorgio Ascarelli,Naples,Italy,WC-1934,1934,1932,1934,40000,Multi-purpose,New,not in use,"destroyed 1942, war",war,rebuilt 1933-34 for the WC; destroyed 1942 in the war,https://en.wikipedia.org/wiki/Stadio_Giorgio_Ascarelli
S-109,S-109,Stadio San Paolo,Naples,Italy,WC-1990,1990,1984,1959,60000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stadio_San_Paolo
S-110,S-110,Stadio La Favorita,Palermo,Italy,WC-1990,1990,1984,1932,33000,Multi-purpose,Existing,in use,,,,https://en.wikipedia.org/wiki/Stadio_Renzo_Barbera
S-111,S-111,Stadio Nazionale PNF,Rome,Italy,WC-1934,1934,1932,1911,47000,Multi-purpose,Existing,not in use,demolished 1957,replaced by successor stadium,"closed 1953, demolished 1957, replaced by Stadio Flaminio, which has itself been closed since 2011",https://en.wikipedia.org/wiki/Stadio_Nazionale_PNF
S-112,S-112,Stadio Olimpico,Rome,Italy,WC-1990,1990,1984,1953,74000,Multi-purpose,Existing,in use,,,"1953 stadium heavily reconstructed 1987-90 for the WC but the venue is continuous; Existing, matching the IOC report's own Rome 1960 row",https://en.wikipedia.org/wiki/Stadio_Olimpico
S-113,S-113,Stadio Littorio,Trieste,Italy,WC-1934,1934,1932,1932,8000,Multi-purpose,Existing,in use,,,"inaugurated 25 Sep 1932, two weeks before Italy was awarded the WC on 9 Oct 1932; Existing",https://en.wikipedia.org/wiki/Stadio_Giuseppe_Grezar
