venue_name,venue_classification,use_at_games,current_status,games_year,host_city,host_country,award_year,precision,iso3c,gdp_per_capita,cpi_score,city_pop_thousands,city_pop_year_used,city_pop_year_gap
Stand de Versailles,New build,Shooting,In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Stade Nautique
des Tourelles / Piscine des
Tourelles",New build,"Swimming, diving, water
polo, modern pentathlon
(swimming)",In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
Auteuil-Villacoublay,Temporary,Eventing (cross-country),Dismantled (temporary),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Stade de Tennis de
Colombes",Temporary,Tennis,Dismantled (temporary),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
Olympic Village,Temporary,Athlete accommodation,Dismantled (temporary),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Camp de Châlons / Stand
Olympique de Châlons
-sur-Marne",Existing,Shooting,Not in use (demolished),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Palais de la Société
des Régates du Havre",Existing,Sailing,Not in use (demolished),1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Hippodrome
du Grand Parquet",Existing,Modern pentathlon,In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Parc des Sports de Reims
/ Stand de la Société
de Tir de Reims / Stade
Olympique de Reims",New build,Shooting,In use,1924,Paris,France,1921,exact,FRA,NA,NA,7423.859,1975,54
"Old Stadium, Het
Nederlandsch
Sportpark",Existing,"Football, hockey",Not in use (demolished),1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
Zeeburg Rifle Range,Existing,"Modern pentathlon
(shooting)",Not in use (demolished),1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
Sloten Canal,Existing,Rowing,In use,1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
Zuiderzee,Existing,Sailing,Not in use,1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
Buiten-IJ,Existing,Sailing,In use,1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
"Amsterdam Olympic
Stadium",New build,"Equestrian (jumping),
athletics, football,
gymnastics, track cycling",In use,1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
"Amsterdam - The Hague
Road
Race Course",Temporary,Road cycling,Dismantled (temporary),1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
Boxing/Wrestling Pavilion,Temporary,"Boxing, wrestling,
weightlifting",Dismantled (temporary),1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
Fencing Pavilion,Temporary,"Fencing, modern
pentathlon (fencing)",Dismantled (temporary),1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
"Olympic Sports Park Swim
Stadium",Temporary,"Swimming, diving, water
polo, modern
pentathlon (swimming)",Dismantled (temporary),1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
"Municipal Sports Park,
Hilversum",Existing,"Equestrian (dressage
and eventing), modern
pentathlon (running)",In use,1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
Amersfoort,Existing,"Modern pentathlon
(equestrian)",Not in use (demolished),1928,Amsterdam,Netherlands,1921,exact,NLD,NA,NA,931.822,1975,54
"Los Angeles Olympic
Stadium",Existing,"Gymnastics, hockey,
equestrian (jumping,
eventing), Opening and
Closing Ceremonies",In use,1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
Rose Bowl Stadium,Existing,Cycling track,In use,1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
Fencing Stadium/Pavilion,Existing,Fencing,In use,1932,Los Angeles,United States,1923,exact,USA,NA,NA,7717.837,1975,52
